id,oneway,category,nodes
432,False,residential,"['475978741', '475978675', '1888382752', '1888382882']"
433,False,residential,"['1888382882', '1888382752', '475978675', '475978741']"
434,False,residential,"['475978728', '1540904124', '475978741']"
435,False,residential,"['475978741', '1540904124', '475978728']"
436,False,residential,"['475978741', '1540771151']"
437,False,residential,"['1540771151', '475978741']"
438,False,residential,"['1540771151', '475982287', '475979135']"
439,False,residential,"['475979135', '475982287', '1540771151']"
440,False,residential,"['475979135', '475979960']"
441,False,residential,"['475979960', '475979135']"
442,True,secondary,"['76482745', '1316471992']"
443,True,secondary,"['1316471992', '76482745']"
444,True,secondary,"['1316471992', '76482746', '1316471728']"
445,True,secondary,"['1316471728', '76482746', '1316471992']"
446,True,secondary,"['1316471728', '475977804', '76482747', '1316472081']"
447,True,secondary,"['1316472081', '76482747', '475977804', '1316471728']"
448,True,secondary,"['1316472081', '1316471945']"
449,True,secondary,"['1316471945', '1316472081']"
450,True,secondary,"['1316471945', '475979686']"
451,True,secondary,"['475979686', '1316471945']"
452,True,secondary,"['475979686', '1316471879']"
453,True,secondary,"['1316471879', '475979686']"
454,True,secondary,"['1316471879', '476556047']"
455,True,secondary,"['476556047', '1316471879']"
456,True,secondary,"['476556047', '602393450', '475979688', '7113864517', '602393484']"
457,True,secondary,"['602393484', '7113864517', '475979688', '602393450', '476556047']"
458,True,secondary,"['602393484', '475979690', '1319204529', '475979692', '882614541', '475979960']"
459,True,secondary,"['475979960', '882614541', '475979692', '1319204529', '475979690', '602393484']"
460,True,secondary,"['475979960', '482728439', '3356049693', '475979698']"
461,True,secondary,"['475979698', '3356049693', '482728439', '475979960']"
462,True,secondary,"['599406834', '6975647422', '1316236759']"
463,True,secondary,"['1316236759', '6975647422', '599406834']"
464,True,secondary,"['1316236759', '599406842', '1316236593']"
465,True,secondary,"['1316236593', '599406842', '1316236759']"
466,True,secondary,"['1316236593', '599406843', '654402303']"
467,True,secondary,"['654402303', '599406843', '1316236593']"
468,True,secondary,"['654402303', '599406844', '1316237187']"
469,True,secondary,"['1316237187', '599406844', '654402303']"
470,True,secondary,"['1316237187', '1316237064']"
471,True,secondary,"['1316237064', '1316237187']"
472,True,secondary,"['1316237064', '599406827']"
473,True,secondary,"['599406827', '1316237064']"
474,True,secondary,"['599406827', '7113864527', '476553848']"
475,True,secondary,"['476553848', '7113864527', '599406827']"
476,True,secondary,"['476553848', '7113864523', '481500507']"
477,True,secondary,"['481500507', '7113864523', '476553848']"
478,True,secondary,"['481500507', '476553852', '1324294618', '477444694']"
479,True,secondary,"['477444694', '1324294618', '476553852', '481500507']"
480,True,secondary,"['477444694', '476553855']"
481,True,secondary,"['476553855', '477444694']"
482,True,secondary,"['476553960', '477444686']"
483,True,secondary,"['477444686', '476553960']"
484,True,secondary,"['477444686', '1404037138', '3560335842']"
485,True,secondary,"['3560335842', '1404037138', '477444686']"
486,True,secondary,"['3560335842', '1324294280', '3560335835']"
487,True,secondary,"['3560335835', '1324294280', '3560335842']"
488,True,secondary,"['3560335835', '481500509']"
489,True,secondary,"['481500509', '3560335835']"
490,True,secondary,"['481500509', '476553961', '7113864524', '476553962']"
491,True,secondary,"['476553962', '7113864524', '476553961', '481500509']"
492,True,secondary,"['476553962', '7113864526', '1404037104', '476559329']"
493,True,secondary,"['476559329', '1404037104', '7113864526', '476553962']"
494,True,secondary,"['476559329', '476553403', '1316471896']"
495,True,secondary,"['1316471896', '476553403', '476559329']"
496,True,secondary,"['1316471896', '654402301', '1316471978']"
497,True,secondary,"['1316471978', '654402301', '1316471896']"
498,True,secondary,"['1316471978', '476553402', '1316471792']"
499,True,secondary,"['1316471792', '476553402', '1316471978']"
500,True,secondary,"['1316471792', '6975647421', '476556641']"
501,True,secondary,"['476556641', '6975647421', '1316471792']"
502,True,secondary,"['476556641', '6975647419', '476553401', '1316472061']"
503,True,secondary,"['1316472061', '476553401', '6975647419', '476556641']"
504,True,secondary,"['1316472061', '599406636']"
505,True,secondary,"['599406636', '1316472061']"
506,False,residential,"['476554611', '476554805', '1316472107']"
507,False,residential,"['1316472107', '476554805', '476554611']"
508,False,residential,"['1316472107', '1316471872']"
509,False,residential,"['1316471872', '1316472107']"
510,False,residential,"['1316471872', '1316471819']"
511,False,residential,"['1316471819', '1316471872']"
512,False,residential,"['1316471819', '476554807', '1316471753']"
513,False,residential,"['1316471753', '476554807', '1316471819']"
514,False,residential,"['1316471753', '1316471714']"
515,False,residential,"['1316471714', '1316471753']"
516,False,residential,"['1316471714', '1320103679']"
517,False,residential,"['1320103679', '1316471714']"
518,False,residential,"['1320103679', '1316471999']"
519,False,residential,"['1316471999', '1320103679']"
520,False,residential,"['1316471999', '476554809']"
521,False,residential,"['476554809', '1316471999']"
