,id,x,y,type
1813,78369212,13312.84,14947.56,priority
1814,796000092,10275.11,18632.41,priority
1815,796761043,13775.80,17376.72,priority
1816,823682813,11614.16,15129.78,priority
1817,824641142,11155.37,15012.12,right_before_left
1818,826163573,10908.33,15337.38,priority
1819,828523225,11562.91,15529.39,priority
1820,832556308,13139.24,17339.81,priority
1821,832573259,13293.07,18720.09,priority
1822,832573260,13305.87,18730.09,right_before_left
1823,832573284,13277.80,18716.23,traffic_light
1824,832573299,13289.98,18708.36,priority
1825,832573323,13282.91,18723.30,priority
1826,832573361,13199.04,19080.42,priority
1827,832573377,13197.39,19095.69,priority
1828,832573405,13206.51,19090.30,priority
1829,832583420,10557.93,20012.60,dead_end
1830,832583432,10555.27,19996.06,priority
1831,832583440,10542.60,20009.50,dead_end
1832,832591364,10434.48,17397.60,priority
1833,832591403,10434.60,17383.79,priority
1834,832591435,10427.36,17391.28,priority
1835,838868527,11646.38,15586.18,priority
1836,886422729,14070.21,16161.67,priority
1837,919091404,14078.98,16023.08,priority
1838,935392869,13684.09,20072.74,dead_end
1839,935392874,14808.93,18983.04,priority
1840,963688609,10241.39,16263.74,priority
1841,963688613,10194.78,16252.47,priority
1842,993726468,12389.04,15574.46,priority
1843,99914331,11809.67,16035.39,priority
1844,99918565,12264.60,16836.16,priority
1845,99919537,12338.34,17123.04,priority
1846,cluster_1051383904_1856160453,9878.60,18578.25,priority
1847,cluster_1098574052_1098574061_247379905,13743.75,17609.43,traffic_light
1848,cluster_1139696842_32319391,13741.96,16621.78,priority
1849,cluster_1238706_1238711_2663581746_320920679,12990.32,15007.72,priority
1850,cluster_1239333746_246649195_264747751_476194,15106.28,16134.03,dead_end
1851,cluster_1277464384_27307865,13498.16,18585.13,priority
1852,cluster_1340980707_2112717916_3268559723_449221_662242678_662242680_662242695_662242703,14145.50,15474.12,priority
1853,cluster_1347778250_31920045,11150.95,15161.11,priority
1854,cluster_1373730451_52155742_665671742_665671743,11323.37,16383.66,traffic_light
1855,cluster_1393690269_449232,14629.30,15444.04,priority
1856,cluster_1459096202_1680834784_256311195,13517.52,16303.19,priority
1857,cluster_14601871_254927733_458605666_458605667,13382.58,15120.88,traffic_light
1858,cluster_1474518376_2118893223_27183076_279018743,14871.67,18864.47,priority
1859,cluster_1574556578_1574556581_1574556602_1574556604_256632548_259469749,11625.74,15744.34,traffic_light
1860,cluster_1583750284_2111209645_254927839,14052.63,15094.62,priority
1861,cluster_1638935360_1638935362_2109075192_32950307_32950316_954808309,13254.52,14922.57,dead_end
1862,cluster_1677325208_313583_397140_474325_474326,14987.66,15822.33,traffic_light
1863,cluster_1677325647_397007,14926.17,16213.73,priority
1864,cluster_1678156994_1678157048_1678230310_302932303_648550705,14488.92,16606.30,right_before_left
1865,cluster_1678199312_1678199317_1678199342_2562090904_2866958696,13990.02,15976.12,traffic_light
1866,cluster_1678199357_3022958026_310647931,14063.12,16013.27,priority
1867,cluster_1678199483_1678199489,13850.31,16485.03,traffic_light
1868,cluster_1678199498_1678199509_1678199529,13853.42,16517.41,traffic_light
1869,cluster_1678199499_1678199505,13828.97,16513.40,priority
1870,cluster_1678199562_256490258,13852.29,16636.01,traffic_light
1871,cluster_1678230418_247380549_26110735,14147.94,16884.12,traffic_light
1872,cluster_1678246926_1678246932_33060029,13680.20,16690.50,priority
1873,cluster_1679641234_256306232,14342.12,15291.58,priority
1874,cluster_1679641240_1679641244_1679641247_1854181847_297754398_311579359_313576_397142_449231,14634.52,15362.34,priority
1875,cluster_1679641274_311578851_449234,14658.84,15414.03,priority
1876,cluster_1679917841_256482895_266709751,14905.96,17274.56,priority
1877,cluster_1679917961_2116624890_2269266542_2285985235_276278173_279486552_279489139_3141997564_734098359,14907.24,17440.18,priority
